ID,TICS_1,TICS_2,TICS_3,TICS_4,TICS_5,TICS_6,TICS_7,TICS_8,TICS_9,TICS_10,TICS_11,TICS_12,TICS_13,TICS_14,TICS_15,TICS_16,TICS_17,TICS_18,TICS_19,TICS_20,TICS_21,TICS_22,TICS_23,TICS_24,TICS_25,TICS_26,TICS_27,TICS_28,TICS_29,TICS_30,TICS_31,TICS_32,TICS_33,TICS_34,TICS_35,TICS_36,TICS_37,TICS_38,TICS_39,TICS_40,TICS_41,TICS_42,TICS_43,TICS_44,TICS_45,TICS_46,TICS_47,TICS_48,TICS_49,TICS_50,TICS_51,TICS_52,TICS_53,TICS_54,TICS_55,TICS_56,TICS_57
298,1,2,1,2,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,3,3,1,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,1
299,2,1,1,0,1,1,0,1,1,2,2,0,2,1,0,1,0,0,1,1,1,1,1,2,2,0,1,0,1,1,1,1,0,1,1,2,1,1,0,0,1,1,2,1,0,1,1,1,0,1,2,0,1,1,0,0,0
300,3,1,1,3,2,2,1,2,2,2,1,3,3,0,2,2,4,1,4,2,2,4,4,3,3,1,2,3,1,1,1,3,2,1,2,1,0,3,3,4,2,1,3,2,1,2,1,2,1,3,1,1,2,3,0,0,2
301,3,2,3,3,4,4,4,3,3,2,3,3,3,2,4,2,3,0,3,3,3,4,4,3,3,4,4,4,3,3,2,2,1,2,1,3,0,0,3,2,3,3,4,4,3,3,0,4,2,4,3,2,2,3,2,3,2
302,1,1,1,2,2,2,0,0,0,1,1,0,1,0,0,0,2,0,1,1,1,0,4,1,1,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,3,2,1,0,1,0,0,2,0,1,3,2,1,0,2
303,3,0,0,3,3,0,1,0,1,3,2,0,3,0,0,2,0,0,1,2,1,0,2,0,2,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
304,4,2,2,3,3,2,3,1,3,1,3,1,3,1,1,4,1,1,4,2,2,2,4,1,4,2,4,4,1,1,1,2,1,2,2,3,1,3,3,3,1,1,2,3,0,2,3,2,1,3,2,2,2,3,2,1,3
305,3,0,0,1,4,0,1,1,4,4,2,3,3,1,0,1,0,0,1,0,3,3,3,1,4,1,2,0,1,1,0,2,0,0,0,1,1,1,2,2,2,3,1,0,0,3,1,2,0,1,4,2,4,1,0,1,0
306,2,0,0,1,0,2,2,0,3,0,0,3,2,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,1,1,0,0,2,0
307,2,2,0,1,1,0,2,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
308,3,2,1,2,1,2,1,0,1,2,2,1,3,1,0,0,0,0,0,3,1,2,0,2,1,0,4,0,1,3,0,0,1,1,2,0,0,2,1,0,1,1,2,3,0,0,3,1,0,3,1,0,2,3,0,0,0
